unit,sex,age,region,year,value
YR,F,Y1,AL,2020,79.4
YR,F,Y1,AT,2020,82.9
YR,F,Y1,BE,2020,82.3
YR,F,Y1,BG,2020,76.9
YR,F,Y1,CH,2020,84.4
YR,F,Y1,CY,2020,83.5
YR,F,Y1,CZ,2020,80.5
YR,F,Y1,DE,2020,82.8
YR,F,Y1,DE_TOT,2020,82.8
YR,F,Y1,DK,2020,82.8
YR,F,Y1,EA18,2020,83.4
YR,F,Y1,EA19,2020,83.4
YR,F,Y1,EE,2020,82.1
YR,F,Y1,EFTA,2020,84.2
YR,F,Y1,EL,2020,83.1
YR,F,Y1,ES,2020,84.3
YR,F,Y1,EU27_2020,2020,82.4
YR,F,Y1,FI,2020,83.9
YR,F,Y1,FR,2020,84.6
YR,F,Y1,HR,2020,80.2
YR,F,Y1,HU,2020,78.2
YR,F,Y1,IE,2020,83.7
YR,F,Y1,IS,2020,83.7
YR,F,Y1,IT,2020,83.7
YR,F,Y1,LI,2020,82.9
YR,F,Y1,LT,2020,79.3
YR,F,Y1,LU,2020,83.9
YR,F,Y1,LV,2020,79.3
YR,F,Y1,ME,2020,78.0
YR,F,Y1,MK,2020,76.1
YR,F,Y1,MT,2020,83.8
YR,F,Y1,NL,2020,82.4
YR,F,Y1,NO,2020,84.0
YR,F,Y1,PL,2020,80.0
YR,F,Y1,PT,2020,83.3
YR,F,Y1,RO,2020,77.7
YR,F,Y1,RS,2020,76.8
YR,F,Y1,SE,2020,83.4
YR,F,Y1,SI,2020,82.5
YR,F,Y1,SK,2020,79.8
YR,F,Y1,AL,2019,80.4
YR,F,Y1,AM,2019,79.1
YR,F,Y1,AT,2019,83.5
YR,F,Y1,AZ,2019,78.6
YR,F,Y1,BE,2019,83.6
YR,F,Y1,BG,2019,78.2
YR,F,Y1,CH,2019,85.1
YR,F,Y1,CY,2019,83.6
YR,F,Y1,CZ,2019,81.4
YR,F,Y1,DE,2019,82.9
YR,F,Y1,DE_TOT,2019,82.9
YR,F,Y1,DK,2019,82.7
YR,F,Y1,EA18,2019,84.2
YR,F,Y1,EA19,2019,84.1
YR,F,Y1,EE,2019,82.1
YR,F,Y1,EFTA,2019,84.6
YR,F,Y1,EL,2019,83.5
YR,F,Y1,ES,2019,85.9
YR,F,Y1,EU27_2020,2019,83.3
YR,F,Y1,FI,2019,83.9
YR,F,Y1,FR,2019,85.2
YR,F,Y1,GE,2019,77.9
YR,F,Y1,HR,2019,80.9
YR,F,Y1,HU,2019,79.0
YR,F,Y1,IE,2019,83.9
YR,F,Y1,IS,2019,83.7
YR,F,Y1,IT,2019,84.9
YR,F,Y1,LI,2019,84.8
YR,F,Y1,LT,2019,80.4
YR,F,Y1,LU,2019,84.4
YR,F,Y1,LV,2019,79.4
YR,F,Y1,ME,2019,78.6
YR,F,Y1,MK,2019,78.0
YR,F,Y1,MT,2019,84.3
YR,F,Y1,NL,2019,83.0
YR,F,Y1,NO,2019,83.8
YR,F,Y1,PL,2019,81.2
YR,F,Y1,PT,2019,84.0
YR,F,Y1,RO,2019,78.9
YR,F,Y1,RS,2019,78.0
YR,F,Y1,SE,2019,84.0
YR,F,Y1,SI,2019,83.7
YR,F,Y1,SK,2019,80.6
YR,F,Y1,TR,2019,81.5
YR,F,Y1,UA,2019,77.7
YR,F,Y1,AL,2018,80.2
YR,F,Y1,AM,2018,79.2
YR,F,Y1,AT,2018,83.3
YR,F,Y1,AZ,2018,78.1
YR,F,Y1,BE,2018,83.2
YR,F,Y1,BG,2018,78.0
YR,F,Y1,BY,2018,78.7
YR,F,Y1,CH,2018,85.0
YR,F,Y1,CY,2018,83.9
YR,F,Y1,CZ,2018,81.2
YR,F,Y1,DE,2018,82.5
YR,F,Y1,DE_TOT,2018,82.5
YR,F,Y1,DK,2018,82.2
YR,F,Y1,EA18,2018,83.9
YR,F,Y1,EA19,2018,83.8
YR,F,Y1,EE,2018,81.8
YR,F,Y1,EEA30_2007,2018,82.9
YR,F,Y1,EEA31,2018,82.9
YR,F,Y1,EFTA,2018,84.5
YR,F,Y1,EL,2018,83.7
YR,F,Y1,ES,2018,85.5
YR,F,Y1,EU27_2007,2018,82.9
YR,F,Y1,EU27_2020,2018,83.0
YR,F,Y1,EU28,2018,82.9
YR,F,Y1,FI,2018,83.7
YR,F,Y1,FR,2018,85.1
YR,F,Y1,GE,2018,77.8
YR,F,Y1,HR,2018,80.7
YR,F,Y1,HU,2018,78.8
YR,F,Y1,IE,2018,83.3
YR,F,Y1,IS,2018,83.6
YR,F,Y1,IT,2018,84.8
